Age;VRExperience;width;height;fov;fps;antialiasing;textures;saturation;brightness;contrast;sharpness;shadowStrength;reflections;modelsDetail;dof;particles;ambientSound;reverbZone;won;zombiesKilled;time;VisualImmersion
29;3;1459.07;810.5945;41;29;0;1;0.4498207;0.08913505;-0.4226117;0.9851638;0.4972159;1;1;0;1;1;1;0;17;60;75
29;3;1018.835;566.0195;50;57;0;0;0.7622554;-0.03048122;-0.1264424;0.09610975;0.07764328;1;1;1;1;1;1;1;40;90;59
29;3;884.2422;491.2457;87;17;0;1;0.9297929;0.3511976;0.02049243;0.173021;0.2306089;1;1;0;0;1;0;1;38;90;81
28;2;1988.756;1104.865;65;22;1;1;-0.3114029;-0.4818609;-0.1065253;0.6062309;0.1205453;0;0;0;0;1;0;0;35;83;100
28;2;1299.66;722.0335;94;19;0;1;0.04610002;0.2878202;-0.1668029;0.5485445;0.4647042;0;1;1;1;1;1;0;21;71;100
28;2;1160.468;644.7047;35;45;0;0;-0.8563187;0.009465873;-0.4738512;0.8995129;0.1328311;1;1;1;0;1;0;1;40;90;100
28;2;1236.52;686.9558;43;28;1;0;0.3281417;0.02476394;-0.5843253;0.2525354;0.595176;0;0;0;0;1;1;0;36;87;85
28;2;962.8353;534.9084;42;52;0;0;0.03778183;0.549588;-0.4161957;0.06317663;0.6747596;1;1;0;0;1;0;1;39;90;39
28;2;1538.878;854.9319;78;41;0;1;-0.6842523;-0.2546721;0.4517971;0.1245646;0.8426888;0;0;1;0;1;1;1;44;90;1
28;2;1616.069;897.8163;66;55;0;0;0.8961008;-0.5116906;0.5345831;0.7003703;0.6170149;1;1;1;0;1;1;0;36;87;53
28;2;480.4262;266.9035;34;21;1;0;0.2769189;0.197429;-0.3168036;0.6666765;0.09130692;0;1;1;0;1;1;1;41;90;1
28;2;2030.772;1128.207;42;28;0;1;-0.227657;0.05458385;0.6319427;0.02749372;0.470651;0;0;1;0;1;0;1;40;90;15
28;2;2062.331;1145.74;76;56;0;1;0.05861723;-0.7982751;-0.1933381;0.1805556;0.9614475;1;1;0;1;1;1;0;42;90;37
39;2;823.9786;457.7659;44;26;1;0;-0.8340452;0.3945222;0.4437609;0.9522859;0.2660673;1;0;1;1;1;0;0;3;28;56
39;2;643.2085;357.338;82;18;1;1;-0.4334749;0.1127294;0.4082636;0.9309723;0.8932958;1;0;1;1;1;0;0;17;63;84
26;1;1558.372;865.7621;82;41;1;1;-0.1091515;-0.2208535;-0.2624177;0.9979115;0.3813407;0;0;1;0;1;0;0;17;62;78
